[2021-03-04 10:24:19:412] : DATE,TimeDate, Serial No, Start Tme, End Time, R0,R1,OS0,V0,L0,ETC0,D0,C0,Write Result, Varify Result, ICT Result, Resul
[2021-03-04 10:57:07:795] : 20210304,,105647,105707,open_NG,short_OK,R57(4.7K)(infK),R57(4.7K)(infK),R65(4.7K)(infK),R65(4.7K)(infK),R67(4.7K)(infK),R67(4.7K)(infK),R48(4.7K)(infK),R48(4.7K)(infK),R48(4.7K)(infK),R48(4.7K)(infK),R70(4.7K)(325268288.00K),R70(4.7K)(325268288.00K),R71(4.7K)(325268288.00K),R71(4.7K)(325268288.00K),R66(4.7K)(325268288.00K),R66(4.7K)(325268288.00K),R68(4.7K)(325268288.00K),R68(4.7K)(325268288.00K),R72(4.7K)(325268288.00K),R72(4.7K)(325268288.00K),R73(4.7K)(325268288.00K),R73(4.7K)(325268288.00K),R75(0)(19240.80K),R75(0)(19240.80K),R76(0)(325268288.00K),R76(0)(325268288.00K),R5(0)(325268288.00K),R5(0)(325268288.00K),R6(0)(325268288.00K),R6(0)(325268288.00K),D13(2.21V),D13(2.21V),D12(2.08V),D12(2.08V),C38(4.7uF)(0.004uF),C38(4.7uF)(0.004uF),C37(4.7uF)(0.007uF),C37(4.7uF)(0.007uF),C19(4.7uF)(0.009uF),C19(4.7uF)(0.009uF),C20(4.7uF)(0.002uF),C20(4.7uF)(0.002uF),C21(4.7uF)(0.004uF),C21(4.7uF)(0.004uF),C22(4.7uF)(0.007uF),C22(4.7uF)(0.007uF),C23(2.2uF)(0.009uF),C23(2.2uF)(0.009uF),C24(2.2uF)(0.002uF),C24(2.2uF)(0.002uF),C31(2.2uF)(0.005uF),C31(2.2uF)(0.005uF),VDD(90uF)(0.600uF),VDD(90uF)(0.600uF),C34(4.7uF)(0.008uF),C34(4.7uF)(0.008uF),C29(1uF)(0.002uF),C29(1uF)(0.002uF),C30(1uF)(0.004uF),C30(1uF)(0.004uF),C27(1uF)(0.005uF),C27(1uF)(0.005uF),C28(1uF)(0.008uF),C28(1uF)(0.008uF),

[2021-03-04 10:58:01:944] : 20210304,,105736,105801,open_OK,short_OK,R57(4.7K)(4.63K),R65(4.7K)(4.74K),R67(4.7K)(4.72K),R48(4.7K)(4.69K),R48(4.7K)(4.71K),R70(4.7K)(4.72K),R71(4.7K)(4.78K),R66(4.7K)(4.77K),R68(4.7K)(4.78K),R72(4.7K)(4.78K),R73(4.7K)(4.79K),R75(0)(0.07K),R76(0)(0.07K),R5(0)(0.07K),R6(0)(0.07K),D13(0.16V),D12(0.73V),C38(4.7uF)(4.231uF),C37(4.7uF)(4.210uF),C19(4.7uF)(4.208uF),C20(4.7uF)(4.188uF),C21(4.7uF)(4.204uF),C22(4.7uF)(4.182uF),C23(2.2uF)(1.950uF),C24(2.2uF)(1.943uF),C31(2.2uF)(1.963uF),VDD(90uF)(92.000uF),C34(4.7uF)(3.452uF),C29(1uF)(0.952uF),C30(1uF)(0.924uF),C27(1uF)(0.933uF),C28(1uF)(0.924uF),

[2021-03-04 10:59:32:894] : 20210304,,105916,105932,open_OK,short_NG,

[2021-03-04 11:00:21:341] : 20210304,,105955,110021,open_OK,short_OK,R57(4.7K)(4.72K),R65(4.7K)(4.58K),R67(4.7K)(4.62K),R48(4.7K)(4.70K),R48(4.7K)(4.67K),R70(4.7K)(4.79K),R71(4.7K)(4.80K),R66(4.7K)(4.74K),R68(4.7K)(4.76K),R72(4.7K)(4.79K),R73(4.7K)(4.76K),R75(0)(0.07K),R76(0)(0.07K),R5(0)(0.07K),R6(0)(0.07K),D13(0.15V),D12(0.73V),C38(4.7uF)(4.291uF),C37(4.7uF)(4.289uF),C19(4.7uF)(4.305uF),C20(4.7uF)(4.303uF),C21(4.7uF)(4.310uF),C22(4.7uF)(4.291uF),C23(2.2uF)(2.056uF),C24(2.2uF)(2.076uF),C31(2.2uF)(2.060uF),VDD(90uF)(88.300uF),C34(4.7uF)(3.458uF),C29(1uF)(0.958uF),C30(1uF)(0.931uF),C27(1uF)(0.930uF),C28(1uF)(0.948uF),

[2021-03-04 11:01:23:111] : 20210304,,110056,110123,open_OK,short_OK,R57(4.7K)(4.73K),R65(4.7K)(4.71K),R67(4.7K)(4.73K),R48(4.7K)(4.56K),R48(4.7K)(4.72K),R70(4.7K)(4.77K),R71(4.7K)(4.76K),R66(4.7K)(4.72K),R68(4.7K)(4.80K),R72(4.7K)(4.81K),R73(4.7K)(4.76K),R75(0)(0.07K),R76(0)(0.07K),R5(0)(0.07K),R6(0)(0.07K),D13(0.15V),D12(0.73V),C38(4.7uF)(4.272uF),C37(4.7uF)(4.252uF),C19(4.7uF)(4.260uF),C20(4.7uF)(4.230uF),C21(4.7uF)(4.265uF),C22(4.7uF)(4.254uF),C23(2.2uF)(0.006uF),C23(2.2uF)(0.006uF),C24(2.2uF)(0.008uF),C24(2.2uF)(0.008uF),C31(2.2uF)(0.001uF),C31(2.2uF)(0.001uF),VDD(90uF)(87.500uF),C34(4.7uF)(3.503uF),C29(1uF)(0.922uF),C30(1uF)(0.930uF),C27(1uF)(0.958uF),C28(1uF)(0.894uF),

